单线程从文件文本一条记录50个字段入mongo数据库耗时日志:

coll count:236627
exit main
put Queue1w time:1s.
put Queue2w time:2s.
put Queue3w time:3s.
put Queue4w time:3s.
put Queue5w time:4s.
put Queue6w time:5s.
put Queue7w time:6s.
put Queue8w time:6s.
put Queue9w time:7s.
put Queue10w time:8s.
put Queue11w time:8s.
put Queue12w time:9s.
put Queue13w time:10s.
put Queue14w time:11s.
put Queue15w time:11s.
put Queue16w time:12s.
put Queue17w time:13s.
put Queue18w time:14s.
put Queue19w time:15s.
put Queue20w time:15s.
put Queue21w time:16s.
put Queue22w time:18s.
put Queue23w time:19s.
put Queue24w time:19s.
put Queue25w time:20s.
put Queue26w time:21s.
put Queue27w time:22s.
put Queue28w time:22s.
put Queue29w time:23s.
put Queue30w time:24s.
put Queue31w time:25s.
put Queue32w time:25s.
put Queue33w time:26s.
put Queue34w time:27s.
put Queue35w time:28s.
put Queue36w time:28s.
put Queue37w time:29s.
put Queue38w time:30s.
put Queue39w time:31s.
put Queue40w time:31s.
put Queue41w time:32s.
put Queue42w time:33s.
put Queue43w time:34s.
put Queue44w time:34s.
put Queue45w time:35s.
put Queue46w time:36s.
put Queue47w time:37s.
put Queue48w time:38s.
put Queue49w time:38s.
put Queue50w time:39s.
put Queue51w time:40s.
put Queue52w time:41s.
put Queue53w time:41s.
put Queue54w time:42s.
put Queue55w time:43s.
put Queue56w time:44s.
put Queue57w time:44s.
put Queue58w time:45s.
put Queue59w time:46s.
put Queue60w time:47s.
put Queue61w time:47s.
put Queue62w time:48s.
put Queue63w time:49s.
put Queue64w time:50s.
put Queue65w time:50s.
put Queue66w time:51s.
put Queue67w time:52s.
put Queue68w time:53s.
put Queue69w time:53s.
put Queue70w time:54s.
put Queue71w time:55s.
put Queue72w time:56s.
put Queue73w time:57s.
put Queue74w time:58s.
put Queue75w time:59s.
put Queue76w time:59s.
put Queue77w time:60s.
put Queue78w time:61s.
put Queue79w time:62s.
put Queue80w time:63s.
put Queue81w time:63s.
put Queue82w time:64s.
put Queue83w time:65s.
put Queue84w time:66s.
put Queue85w time:66s.
put Queue86w time:67s.
put Queue87w time:68s.
put Queue88w time:69s.
put Queue89w time:69s.
put Queue90w time:70s.
put Queue91w time:71s.
put Queue92w time:72s.
put Queue93w time:73s.
put Queue94w time:73s.
put Queue95w time:74s.
put Queue96w time:75s.
put Queue97w time:76s.
put Queue98w time:76s.
put Queue99w time:77s.
put Queue100w time:78s.
put Queue101w time:79s.
put Queue102w time:79s.
put Queue103w time:81s.
put Queue104w time:82s.
put Queue105w time:82s.
put Queue106w time:83s.
put Queue107w time:84s.
put Queue108w time:85s.
put Queue109w time:85s.
put Queue110w time:86s.
put Queue111w time:87s.
put Queue112w time:87s.
put Queue113w time:88s.
put Queue114w time:89s.
put Queue115w time:90s.
put Queue116w time:90s.
put Queue117w time:91s.
put Queue118w time:92s.
put Queue119w time:93s.
put Queue120w time:93s.
put Queue121w time:94s.
put Queue122w time:95s.
put Queue123w time:96s.
put Queue124w time:96s.
put Queue125w time:97s.
put Queue126w time:98s.
put Queue127w time:99s.
put Queue128w time:99s.
put Queue129w time:100s.
put Queue130w time:101s.
put Queue131w time:102s.
put Queue132w time:102s.
put Queue133w time:103s.
put Queue134w time:104s.
put Queue135w time:105s.
put Queue136w time:105s.
put Queue137w time:106s.
put Queue138w time:107s.
put Queue139w time:108s.
put Queue140w time:108s.
put Queue141w time:109s.
put Queue142w time:110s.
put Queue143w time:111s.
put Queue144w time:112s.
put Queue145w time:112s.
put Queue146w time:113s.
put Queue147w time:114s.
put Queue148w time:115s.
put Queue149w time:115s.
put Queue150w time:116s.
put Queue151w time:117s.
put Queue152w time:118s.
put Queue153w time:118s.
put Queue154w time:119s.
put Queue155w time:120s.
put Queue156w time:121s.
put Queue157w time:121s.
put Queue158w time:122s.
put Queue159w time:123s.
put Queue160w time:124s.
put Queue161w time:124s.
put Queue162w time:125s.
put Queue163w time:126s.
put Queue164w time:127s.
put Queue165w time:128s.
put Queue166w time:128s.
put Queue167w time:129s.
put Queue168w time:130s.
put Queue169w time:131s.
put Queue170w time:131s.
put Queue171w time:132s.
put Queue172w time:133s.
put Queue173w time:134s.
put Queue174w time:134s.
put Queue175w time:135s.
put Queue176w time:136s.
put Queue177w time:137s.
put Queue178w time:137s.
put Queue179w time:138s.
put Queue180w time:139s.
put Queue181w time:140s.
put Queue182w time:141s.
put Queue183w time:141s.
put Queue184w time:142s.
put Queue185w time:143s.
put Queue186w time:144s.
put Queue187w time:145s.
put Queue188w time:146s.
put Queue189w time:146s.
put Queue190w time:147s.
put Queue191w time:148s.
put Queue192w time:149s.
put Queue193w time:149s.
put Queue194w time:150s.
put Queue195w time:151s.
put Queue196w time:152s.
put Queue197w time:152s.
put Queue198w time:153s.
put Queue199w time:154s.
put Queue200w time:155s.
put Queue201w time:155s.
put Queue202w time:156s.
put Queue203w time:157s.
put Queue204w time:158s.
put Queue205w time:158s.
put Queue206w time:159s.
put Queue207w time:160s.
put Queue208w time:161s.
put Queue209w time:161s.
put Queue210w time:162s.
put Queue211w time:163s.
put Queue212w time:164s.
put Queue213w time:164s.
put Queue214w time:165s.
put Queue215w time:166s.
put Queue216w time:167s.
put Queue217w time:167s.
put Queue218w time:168s.
put Queue219w time:169s.
put Queue220w time:170s.
put Queue221w time:170s.
put Queue222w time:171s.
put Queue223w time:172s.
put Queue224w time:173s.
put Queue225w time:173s.
put Queue226w time:174s.
put Queue227w time:175s.
put Queue228w time:176s.
put Queue229w time:176s.
put Queue230w time:177s.
put Queue231w time:178s.
put Queue232w time:179s.
put Queue233w time:179s.
put Queue234w time:180s.
put Queue235w time:181s.
put Queue236w time:182s.
put Queue237w time:182s.
put Queue238w time:183s.
put Queue239w time:184s.
put Queue240w time:185s.
put Queue241w time:185s.
put Queue242w time:186s.
put Queue243w time:187s.
put Queue244w time:188s.
put Queue245w time:188s.
put Queue246w time:189s.
put Queue247w time:190s.
put Queue248w time:190s.
put Queue249w time:191s.
put Queue250w time:192s.
put Queue251w time:193s.
put Queue252w time:193s.
put Queue253w time:194s.
put Queue254w time:195s.
put Queue255w time:196s.
put Queue256w time:196s.
put Queue257w time:197s.
put Queue258w time:198s.
put Queue259w time:199s.
put Queue260w time:199s.
put Queue261w time:200s.
put Queue262w time:201s.
put Queue263w time:202s.
put Queue264w time:202s.
put Queue265w time:203s.
put Queue266w time:204s.
put Queue267w time:205s.
put Queue268w time:206s.
put Queue269w time:206s.
put Queue270w time:207s.
put Queue271w time:208s.
put Queue272w time:209s.
put Queue273w time:210s.
put Queue274w time:210s.
put Queue275w time:211s.
put Queue276w time:212s.
put Queue277w time:213s.
put Queue278w time:213s.
put Queue279w time:214s.
put Queue280w time:215s.
put Queue281w time:216s.
put Queue282w time:216s.
put Queue283w time:217s.
put Queue284w time:218s.
put Queue285w time:218s.
put Queue286w time:219s.
put Queue287w time:220s.
put Queue288w time:221s.
put Queue289w time:222s.
put Queue290w time:222s.
put Queue291w time:223s.
put Queue292w time:224s.
put Queue293w time:225s.
put Queue294w time:225s.
put Queue295w time:226s.
put Queue296w time:227s.
put Queue297w time:228s.
put Queue298w time:228s.
put Queue299w time:229s.
put Queue300w time:230s.
put Queue301w time:231s.
put Queue302w time:231s.
put Queue303w time:232s.
put Queue304w time:233s.
put Queue305w time:234s.
put Queue306w time:234s.
put Queue307w time:235s.
put Queue308w time:236s.
put Queue309w time:237s.
put Queue310w time:237s.
put Queue311w time:238s.
put Queue312w time:239s.
put Queue313w time:240s.
put Queue314w time:241s.
put Queue315w time:241s.
put Queue316w time:242s.
put Queue317w time:243s.
put Queue318w time:244s.
put Queue319w time:244s.
put Queue320w time:245s.
put Queue321w time:246s.
put Queue322w time:247s.
put Queue323w time:247s.
put Queue324w time:248s.
put Queue325w time:249s.
put Queue326w time:250s.
put Queue327w time:250s.
put Queue328w time:251s.
put Queue329w time:252s.
put Queue330w time:253s.
put Queue331w time:253s.
put Queue332w time:254s.
put Queue333w time:255s.
put Queue334w time:256s.
put Queue335w time:256s.
put Queue336w time:257s.
put Queue337w time:258s.
put Queue338w time:259s.
put Queue339w time:259s.
put Queue340w time:260s.
put Queue341w time:261s.
put Queue342w time:262s.
put Queue343w time:263s.
put Queue344w time:264s.
put Queue345w time:264s.
put Queue346w time:265s.
put Queue347w time:266s.
put Queue348w time:267s.
put Queue349w time:268s.
put Queue350w time:269s.
put Queue351w time:270s.
put Queue352w time:271s.
put Queue353w time:272s.
put Queue354w time:272s.
put Queue355w time:273s.
put Queue356w time:274s.
put Queue357w time:275s.
put Queue358w time:276s.
put Queue359w time:276s.
put Queue360w time:277s.
put Queue361w time:278s.
put Queue362w time:278s.
put Queue363w time:279s.
put Queue364w time:280s.
put Queue365w time:281s.
put Queue366w time:282s.
put Queue367w time:282s.
put Queue368w time:283s.
put Queue369w time:284s.
put Queue370w time:285s.
put Queue371w time:285s.
put Queue372w time:286s.
put Queue373w time:287s.
put Queue374w time:288s.
put Queue375w time:289s.
put Queue376w time:289s.
put Queue377w time:290s.
put Queue378w time:291s.
put Queue379w time:292s.
put Queue380w time:292s.
put Queue381w time:293s.
put Queue382w time:294s.
put Queue383w time:295s.
put Queue384w time:296s.
put Queue385w time:297s.
put Queue386w time:297s.
put Queue387w time:298s.
put Queue388w time:299s.
put Queue389w time:300s.
put Queue390w time:300s.
put Queue391w time:301s.
put Queue392w time:302s.
put Queue393w time:303s.
put Queue394w time:304s.
put Queue395w time:304s.
put Queue396w time:305s.
put Queue397w time:306s.
put Queue398w time:307s.
put Queue399w time:308s.
put Queue400w time:308s.
put Queue401w time:309s.
put Queue402w time:310s.
put Queue403w time:311s.
put Queue404w time:311s.
put Queue405w time:312s.
put Queue406w time:313s.
put Queue407w time:314s.
put Queue408w time:315s.
put Queue409w time:316s.
put Queue410w time:316s.
put Queue411w time:317s.
put Queue412w time:318s.
put Queue413w time:319s.
put Queue414w time:319s.
put Queue415w time:320s.
put Queue416w time:321s.
put Queue417w time:322s.
put Queue418w time:323s.
put Queue419w time:323s.
put Queue420w time:324s.
put Queue421w time:325s.
put Queue422w time:326s.
put Queue423w time:327s.
put Queue424w time:327s.
put Queue425w time:328s.
put Queue426w time:329s.
put Queue427w time:330s.


