∂‡œﬂ≥Ã


coll count:180
exit main
put Queue1w time:0s.
put Queue2w time:0s.
put Queue3w time:1s.
put Queue4w time:1s.
put Queue5w time:1s.
put Queue6w time:2s.
put Queue7w time:3s.
put Queue8w time:3s.
put Queue9w time:3s.
put Queue10w time:3s.
put Queue11w time:3s.
put Queue12w time:3s.
put Queue13w time:5s.
put Queue14w time:6s.
put Queue15w time:6s.
put Queue16w time:6s.
put Queue17w time:8s.
put Queue18w time:9s.
put Queue19w time:9s.
put Queue20w time:9s.
put Queue21w time:9s.
put Queue22w time:12s.
put Queue23w time:12s.
put Queue24w time:13s.
put Queue25w time:13s.
put Queue26w time:13s.
put Queue27w time:13s.
put Queue28w time:14s.
put Queue29w time:14s.
put Queue30w time:19s.
put Queue31w time:19s.
put Queue32w time:19s.
put Queue33w time:19s.
put Queue34w time:20s.
put Queue35w time:20s.
